,roi,num.roi,hemi,community,community.short
1,V1,1,bilateral,primary visual cortex,V1
2,MST,2,bilateral,MT+ complex and neighbors,MT+
3,V6,3,bilateral,dorsal stream visual cortex,d vis.
4,V2,4,bilateral,early visual cortex,early vis.
5,V3,5,bilateral,early visual cortex,early vis.
6,V4,6,bilateral,early visual cortex,early vis.
7,V8,7,bilateral,ventral stream visual cortex,v vis.
8,4,8,bilateral,somatosensory and motor cortex,M1 and S1
9,3b,9,bilateral,somatosensory and motor cortex,M1 and S1
10,FEF,10,bilateral,premotor cortex,PM
11,PEF,11,bilateral,premotor cortex,PM
12,55b,12,bilateral,premotor cortex,PM
13,V3A,13,bilateral,dorsal stream visual cortex,d vis.
14,RSC,14,bilateral,posterior cingulate cortex,pCC
15,POS2,15,bilateral,posterior cingulate cortex,pCC
16,V7,16,bilateral,dorsal stream visual cortex,d vis.
17,IPS1,17,bilateral,dorsal stream visual cortex,d vis.
18,FFC,18,bilateral,ventral stream visual cortex,v vis.
19,V3B,19,bilateral,dorsal stream visual cortex,d vis.
20,LO1,20,bilateral,MT+ complex and neighbors,MT+
21,LO2,21,bilateral,MT+ complex and neighbors,MT+
22,PIT,22,bilateral,ventral stream visual cortex,v vis.
23,MT,23,bilateral,MT+ complex and neighbors,MT+
24,A1,24,bilateral,early auditory cortex,early aud.
25,PSL,25,bilateral,tempo-parieto-occipital junction,TPOJ
26,SFL,26,bilateral,dorsolateral prefrontal cortex,dlPFC
27,PCV,27,bilateral,posterior cingulate cortex,pCC
28,STV,28,bilateral,tempo-parieto-occipital junction,TPOJ
29,7Pm,29,bilateral,superior parietal cortex,sP
30,7m,30,bilateral,posterior cingulate cortex,pCC
31,POS1,31,bilateral,posterior cingulate cortex,pCC
32,23d,32,bilateral,posterior cingulate cortex,pCC
33,v23ab,33,bilateral,posterior cingulate cortex,pCC
34,d23ab,34,bilateral,posterior cingulate cortex,pCC
35,31pv,35,bilateral,posterior cingulate cortex,pCC
36,5m,36,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
37,5mv,37,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
38,23c,38,bilateral,posterior cingulate cortex,pCC
39,5L,39,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
40,24dd,40,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
41,24dv,41,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
42,7AL,42,bilateral,superior parietal cortex,sP
43,SCEF,43,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
44,6ma,44,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
45,7Am,45,bilateral,superior parietal cortex,sP
46,7PL,46,bilateral,superior parietal cortex,sP
47,7PC,47,bilateral,superior parietal cortex,sP
48,LIPv,48,bilateral,superior parietal cortex,sP
49,VIP,49,bilateral,superior parietal cortex,sP
50,MIP,50,bilateral,superior parietal cortex,sP
51,1,51,bilateral,somatosensory and motor cortex,M1 and S1
52,2,52,bilateral,somatosensory and motor cortex,M1 and S1
53,3a,53,bilateral,somatosensory and motor cortex,M1 and S1
54,6d,54,bilateral,premotor cortex,PM
55,6mp,55,bilateral,paracentral lobular and mid cingulate cortex,PL and mid cing.
56,6v,56,bilateral,premotor cortex,PM
57,p24pr,57,bilateral,anterior cingulate and medial prefrontal cortex,aCC and mPFC
